package name,app name,feature
com.google.android.diskusage,DiskUsage,Visually explore used and free space on internal and external storage
com.google.android.diskusage,DiskUsage,find files and directories on storage card which consume a lot of space
com.google.android.diskusage,DiskUsage,displays a diagram with directories subdirectories shown proportional to their size
com.google.android.diskusage,DiskUsage,OI FileManager
com.google.android.diskusage,DiskUsage,Solid Explorer
ee.smkv.calc.loan,Simple Loan Calculator,"Calculate annuity, differentiated and fixed payments"
ee.smkv.calc.loan,Simple Loan Calculator,"Calculation:the monthly payment, the amount of interest paid, the total cost of credit, amortization schedule"
ee.smkv.calc.loan,Simple Loan Calculator,comparison of all these indices between different loans
de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,Classic puzzle game
de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,you are playing against the computer. The computer is red; you are blue
com.example.android.monthcalendarwidget,Month Calendar Widget,Simple month calendar widget
be.brunoparmentier.dnssetter,DNSSetter,DNSSetter lets you change your DNS servers
be.brunoparmentier.dnssetter,DNSSetter,works for mobile connections
be.brunoparmentier.dnssetter,DNSSetter,temporary
be.brunoparmentier.dnssetter,DNSSetter,will not resist if your IP address changes or if you reboot your device
