package name,app name
com.google.android.diskusage,DiskUsage
com.google.android.apps.nbu.files,Files by Google
com.mobile_infographics_tools.mydrive,Storage Analyzer & Disk Usage
com.avast.android.cleaner,Avast Cleanup
com.mobisystems.fileman,File Commander
ee.smkv.calc.loan,Simple Loan Calculator
com.financial.loan.emi.calculator,Loan Calculator : Mortgage Calculator
com.rkayapps.compoundinterestcalculator, Loan Calculator
com.financial.calculator,Financial Calculators
advanced.scientific.calculator.calc991.plus,Scientific calculator plus advanced 991 calc
de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes
com.gss.dotsandbox.dotsnbox.dots.dotsandboxes.free.board.games,Dots N Boxes Square :Dot Game
com.mggames.dotsnbox,Dots and Boxes game
com.outofthebit.dots,Dots and Boxes - Classic Strategy Board Games
com.han.dotsandboxes,Dots and Boxes - Squares
com.example.android.monthcalendarwidget,Month Calendar Widget
com.google.android.calendar,Google calendar
com.itbenefit.android.calendar,Calendar Widget Month + Agenda
com.bihsnow.monthcalendarwidget,Month Calendar Widget
com.moonly.android,Moonly: Moon Phase Calendar
be.brunoparmentier.dnssetter,DNSSetter
com.evanhe.dnsforward,DNS forwarder
com.burakgon.dnschanger,"DNS Changer: Mobile Data, WiFi"
com.protectstar.dnschanger,DNS Changer Fast&Secure Surf
free.vpn.unblock.proxy.turbovpn,Turbo VPN - Secure VPN Proxy
